path,age,age_group
processed_faces\100_100_0_0_20170112213500903.jpg.chip.jpg,100,4
processed_faces\100_100_0_0_20170112215240346.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170110183726390.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170112213001988.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170112213303693.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170112215032192.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170117195420803.jpg.chip.jpg,100,4
processed_faces\100_100_1_0_20170119212053665.jpg.chip.jpg,100,4
processed_faces\100_100_1_2_20170112213615815.jpg.chip.jpg,100,4
processed_faces\100_326578_1902-03-30_2002.jpg,100,4
processed_faces\100_147187_1905-01-21_2005.jpg,100,4
processed_faces\100_6542_1911-06-30_2011.jpg,100,4
processed_faces\100_34609931_1903-05-10_2003.jpg,100,4
processed_faces\100_37965507_1885-02-22_1985.jpg,100,4
processed_faces\100_17320223_1898-08-16_1998.jpg,100,4
processed_faces\100_26093349_1899-12-27_1999.jpg,100,4
processed_faces\100_3284567_1885-11-27_1985.jpg,100,4
processed_faces\100_1386451_1908-12-11_2008.jpg,100,4
processed_faces\100_525886_1910-04-26_2010.jpg,100,4
processed_faces\100_708064_1909-04-22_2009.jpg,100,4
processed_faces\100_1041815_1888-11-18_1988.jpg,100,4
processed_faces\100_588018_1880-05-21_1980.jpg,100,4
processed_faces\10_coarse_tilt_aligned_face.581.9826732786_7f0baa65da_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.956.12059058974_3182f5e11b_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.490.12101302335_c41907846c_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.573.9829929284_4944d577cc_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.557.9829651984_ebe5c70dcd_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.608.11546602553_0649189d2b_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1191.11693252063_66a26c1093_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1944.8630874820_f192090009_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1365.8256030487_9e18b5e076_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.953.12059686493_64119d3b56_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1524.12039025633_a300f32d89_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.573.9830025313_14ec522eb7_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1402.11952332133_b42fddf60f_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1523.12039853066_63af22f7ba_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.1389.10693503466_a27aafca77_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.647.12058023306_abc73907b7_o.jpg,10,0
processed_faces\10_coarse_tilt_aligned_face.953.12058724993_d3c901cd8b_o.jpg,10,0
